Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,,
48,205,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 12 months after spillNA  20-mm in diameter holes were made in the oiled soil and holes filled with nursery soil, to which fertilizer was addedNA Survival was monitored after 13 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,Cativa Bay,Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",1NA1,NA,NA,1986.00,NA,NA,NA,NA,NA,97,NA,,
48,206,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: propagules were planted at oiled sites 12 months after spill where 20-mm in diameter holes were made and holes filled with nursery soil, to which fertilizer was addedNA Survival was monitored after 13 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,"Power Plant Island, Cativa Bay",Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",1NA1,NA,NA,1986.00,NA,NA,NA,NA,NA,97,NA,,
48,207,"Teas HJ, Lasday AH, Luque L E, Morales RA, De Diego ME, Baker JM (1989) Mangrove restoration after the 1986 Refineria Panama oil spillNA Proc 1989 International Oil Spill Conference, IOSC 1989",conference proceedings,1989,1986-1988,NA,primary,"More than 42,000 nursery plants and 44,000 propagules have been planted for forest restoration in the area where the Texaco Refineria Panama spilled over 8 Mio liters of crude oil in 1986NA Here: seedlings were planted at oiled sites 12 months after spill where 20-mm in diameter holes were made and holes filled with nursery soil, to which fertilizer was addedNA Survival of seedlings was monitored after 13 monthsNA","Planting mangroves (seeds, seedlings or propagules)",Rhizophora mangle,"Power Plant Island, Cativa Bay",Panama,PAN,developing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"The authors are grateful for field and logistic support of their investigations by DrNA Rogelio De Leon-Jones, Adan Moreno, Emerson Vasquez and many others at the Refineria PanamaNA This work was funded by Refineria Panama, SNAANA",1NA1,NA,NA,1986.00,NA,NA,NA,NA,NA,100,NA,,
49,208,"Toledo G, Rojas A, Bashan Y (2001) Monitoring of black mangrove restoration with nursery-reared seedlings on an arid coastal lagoonNA Hydrobiologia 444:101-109",journal,2001,1994,NA,primary,"Black mangrove seedlings (n=555) were grown from field-collected propagules for 3 months in a new type of terrestrial nurseryNA They were grown in clusters of five plants, and then transplanted to a clear-cut zone in a lagoon fringed by a mangrove forestNA Survival and plant development of transplants were monitored at 6-monthly intervals for 2 yearsNA Here: survival of transplants in the swampNA","Habitat conversion, planting",Avicennia germinans,"Laguna de Balandra, Baja California Sur",Mexico,MEX,developing,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"This study was partially supported in part by grants #28362 B and #26262 B from Consejo Nacional de Ciencia y Tecnología (CONACyT), México and by the Bashan FoundationNA GT was partially supported by grants NoNA 83916 from Consejo Nacional de Ciencia y Tecnología (CONACyT) and NoNA 930108 from Instituto Politécnico NacionalNA Centro Interdisciplinario de Ciencias Marinas, Programa Institucional de Formación de Investigadores (CICIMAR-PIFI) (Mexico)NA",0NA1,NA,NA,1994.00,NA,NA,NA,NA,This study shows the feasibility of restoring destroyed arid-coast lagoons with black mangrovesNA,96,NA,,
49,209,"Toledo G, Rojas A, Bashan Y (2001) Monitoring of black mangrove restoration with nursery-reared seedlings on an arid coastal lagoonNA Hydrobiologia 444:101-109",journal,2001,1994,NA,primary,"Black mangrove seedlings (n=555) were grown from field-collected propagules for 3 months in a new type of terrestrial nurseryNA They were grown in clusters of five plants, and then transplanted to a clear-cut zone in a lagoon fringed by a mangrove forestNA Survival and plant development of transplants were monitored at 6-monthly intervals for 2 yearsNA Here: survival of transplants in the swampNA","Habitat conversion, planting",Avicennia germinans,"Laguna de Balandra, Baja California Sur",Mexico,MEX,developing,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"This study was partially supported in part by grants #28362 B and #26262 B from Consejo Nacional de Ciencia y Tecnología (CONACyT), México and by the Bashan FoundationNA GT was partially supported by grants NoNA 83916 from Consejo Nacional de Ciencia y Tecnología (CONACyT) and NoNA 930108 from Instituto Politécnico NacionalNA Centro Interdisciplinario de Ciencias Marinas, Programa Institucional de Formación de Investigadores (CICIMAR-PIFI) (Mexico)NA",0NA5,NA,NA,1994.00,NA,NA,NA,NA,This study shows the feasibility of restoring destroyed arid-coast lagoons with black mangrovesNA,86,NA,,
49,210,"Toledo G, Rojas A, Bashan Y (2001) Monitoring of black mangrove restoration with nursery-reared seedlings on an arid coastal lagoonNA Hydrobiologia 444:101-109",journal,2001,1994,NA,primary,"Black mangrove seedlings (n=555) were grown from field-collected propagules for 3 months in a new type of terrestrial nurseryNA They were grown in clusters of five plants, and then transplanted to a clear-cut zone in a lagoon fringed by a mangrove forestNA Survival and plant development of transplants were monitored at 6-monthly intervals for 2 yearsNA Here: survival of transplants in the swampNA","Habitat conversion, planting",Avicennia germinans,"Laguna de Balandra, Baja California Sur",Mexico,MEX,developing,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"This study was partially supported in part by grants #28362 B and #26262 B from Consejo Nacional de Ciencia y Tecnología (CONACyT), México and by the Bashan FoundationNA GT was partially supported by grants NoNA 83916 from Consejo Nacional de Ciencia y Tecnología (CONACyT) and NoNA 930108 from Instituto Politécnico NacionalNA Centro Interdisciplinario de Ciencias Marinas, Programa Institucional de Formación de Investigadores (CICIMAR-PIFI) (Mexico)NA",1NA5,NA,NA,1994.00,NA,NA,NA,NA,This study shows the feasibility of restoring destroyed arid-coast lagoons with black mangrovesNA,77,NA,,
49,211,"Toledo G, Rojas A, Bashan Y (2001) Monitoring of black mangrove restoration with nursery-reared seedlings on an arid coastal lagoonNA Hydrobiologia 444:101-109",journal,2001,1994,NA,primary,"Black mangrove seedlings (n=555) were grown from field-collected propagules for 3 months in a new type of terrestrial nurseryNA They were grown in clusters of five plants, and then transplanted to a clear-cut zone in a lagoon fringed by a mangrove forestNA Survival and plant development of transplants were monitored at 6-monthly intervals for 2 yearsNA Here: survival of transplants in the swampNA","Habitat conversion, planting",Avicennia germinans,"Laguna de Balandra, Baja California Sur",Mexico,MEX,developing,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"This study was partially supported in part by grants #28362 B and #26262 B from Consejo Nacional de Ciencia y Tecnología (CONACyT), México and by the Bashan FoundationNA GT was partially supported by grants NoNA 83916 from Consejo Nacional de Ciencia y Tecnología (CONACyT) and NoNA 930108 from Instituto Politécnico NacionalNA Centro Interdisciplinario de Ciencias Marinas, Programa Institucional de Formación de Investigadores (CICIMAR-PIFI) (Mexico)NA",2,NA,NA,1994.00,NA,NA,NA,NA,This study shows the feasibility of restoring destroyed arid-coast lagoons with black mangrovesNA,74,NA,,
49,212,"Toledo G, Rojas A, Bashan Y (2001) Monitoring of black mangrove restoration with nursery-reared seedlings on an arid coastal lagoonNA Hydrobiologia 444:101-109",journal,2001,1994,NA,primary,"Black mangrove seedlings (n=555) were grown from field-collected propagules for 3 months in a new type of terrestrial nurseryNA They were grown in clusters of five plants, and then transplanted to a clear-cut zone in a lagoon fringed by a mangrove forestNA Survival and plant development of transplants were monitored at 6-monthly intervals for 2 years and again in year 4 after transplantationNA Here: survival of transplants in the swampNA","Habitat conversion, planting",Avicennia germinans,"Laguna de Balandra, Baja California Sur",Mexico,MEX,developing,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"This study was partially supported in part by grants #28362 B and #26262 B from Consejo Nacional de Ciencia y Tecnología (CONACyT), México and by the Bashan FoundationNA GT was partially supported by grants NoNA 83916 from Consejo Nacional de Ciencia y Tecnología (CONACyT) and NoNA 930108 from Instituto Politécnico NacionalNA Centro Interdisciplinario de Ciencias Marinas, Programa Institucional de Formación de Investigadores (CICIMAR-PIFI) (Mexico)NA",4,NA,NA,1994.00,NA,NA,NA,NA,This study shows the feasibility of restoring destroyed arid-coast lagoons with black mangrovesNA,74,NA,,
50,213,"Tri NH, Adger WN, Kelly PM (1998) Natural resource management in mitigating climate impacts: the example of mangrove restoration in VietnamNA Glob Environ Change-Human Policy Dimens 8:49-61",journal,1998,1994,NA,secondary,Estimates for planting mangroves and maintenanceNA See Adger et al 1997,"Planting mangroves (seeds, seedlings or propagules)",NA,Nam Ha Province,Vietnam,VNM,developing,"These costs are estimated primarily based on the cost of labour for the activities describedNA Survey research was carried out in 1994 with the cost for a work day in that year being typically 2NA5 kg of rice or VND 5,500NA Planting of 1 hta of mangroves required 95 work days or VND 522,000NA The costs of establishing a stand, including planting, gapping and protection, occur mainly in the first yearNA Maintenance, from the second year on, incurs an estimated annual expenditure of VND 82,500 per hectare",yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,1,1.00,"VND 604,500",1994.00,55.00,NA,NA,4.00,NA,NA,Study is redundant with values reported in Adger et alNA 1997,,
51,214,"Tuan T, Tinh B (2013) Cost–benefit analysis of mangrove restoration in Thi Nai Lagoon, Quy Nhon City, VietnamNA International Institute for Environment and Development, London",report,2013,2012-2044,2012,primary,Cost estimates for mangrove restoration based on project information and consultancy meetings between local communities and governmentsNA Restoration and monitoring during the first 4 years and protection during the following 18 years by local communityNA See: http://wwwNAacccrnNAorg/initiatives/vietnam/quy-nhon/city-projects/urban-mangrove-restoration-storm-surge-protection-and-res,"Planting mangroves (seeds, seedlings or propagules)",various,Thi Nai Lagoon,Vietnam,VNM,developing,"Cost estimate: US$ 850000 for the whole project; maintenance costs include protection and re-planting of any areas of the mangrove which have died or been damaged (caNA US$ 675000) during the first 4 yr and then caNA US$175000 for protection after restorationNA The annual cost of restoration is about VN$3NA6 millionNA After the first 4 years, once the mangrove planting is complete, the restoration cost is zeroNA Maintenance and protection costs will vary during the first 4 years and then remain constant for the rest of the project life (22 years)NA These maintenance costs include protection and re-planting of any areas of the mangrove which have died or been damagedNA Participants estimated the cost of mangrove protection to be about VN$1 million/ha/year, and this protection activity should be assigned to villagersNA",yes,NA,NA,yes,NA,NA,yes,NA,NA,NA,"The authors wish to thank the International Institute for Environment and Development
(IIED) for funding this research and especially for the support of Diane Archer, Hannah
Reid and Rodney Lunduka and for their valuable comments and sug gestions on our
study proposal and analysisNA",22,150.00,850000.00,2012.00,5667.00,4377.00,199.00,24.00,No information on feasibility since the project is about to startNA,NA,NA,,
52,215,"Tuan TH, My NHD, Anh LTQ, Toan NV (2014) Using contingent valuation method to estimate the WTP for mangrove restoration under the context of climate change: A case study of Thi Nai lagoon, Quy Nhon city, VietnamNA Ocean Coastal Manage 95:198-212",journal,2014,NA,NA,secondary,Mangrove were protected and restored over 150 ha for 4 years within the project “Ecosystem Services for Climate Resilience in Quy Nhon city” funded by the Rockefeller FoundationNA,NA,NA,Thi Nai Lagoon,Vietnam,VNM,developing,"Regarding the cost (C), according to the project “Ecosystem Services for Climate Resilience in Quy Nhon city” funded by the Rockefeller Foundation, the cost for protection and restoration of 150 ha of mangroves in Thi Nai is estimated at about USD 895,181 in four yearsNA",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,150.00,895181.00,2013.00,5968.00,4324.00,1081.00,139.00,NA,NA,NA,,
53,216,"Turner R, Lewis III R (1996) Hydrologic restoration of coastal wetlandsNA Wetl Ecol Manag 4:65–72",journal,1996,NA,NA,secondary,Through hydrological modification of coastal wetlandsNA,Hydrological restoration - facilitation of a natural recovery,Avicennia germinans ,examples for various locations,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995.00,NA,NA,NA,NA,Lack of experience of the management in restoration projectsNA,NA,NA,,
54,217,"Walton M, Samonte-Tan G, Primavera J, Edwards-Jones G, Vay L Le (2006) Are mangroves worth replanting? The direct economic benefits of a community-based reforestation projectNA Environ Conserv 33:335–343",journal,2006,2004,NA,primary,Planting of 4444 propagules per hectare by localsNA,"Planting mangroves (seeds, seedlings or propagules)",Rhizophora spp,"at the mouth of the Aklan River, in the Aklan province of Western Visayas, Panay Island",Philippines,PHL,developing,Planting of 4444 propagules per hectare by localsNA,NA,yes,NA,NA,NA,yes,yes,NA,NA,NA,"This research was supported by the European Commission, INCO-DEV contract noNA ICA4-CT-2001–10022NA We gratefully acknowledge the help of KASAMA, particularly Attorney Allen Quimpo, USWAG, the communities of Old and New Buswang, Pook, Andagao and Bakaw Sur, IgnacioSequeiros (for databasemanagement) and Jan Hiddink (statistical advice)NA",NA,NA,"The density of planting was 4444 propagules per hectare, resulting in a cost of 11,554 PhP ha?1 or US$ 211 ha?1NA Coversion: US$ 1 =54NA66 PhP
or Philippine Pesos",2003.00,213.00,302.00,302.00,24.00,as an example of successful mangrove reforestation,NA,NA,,
